Name,Address,Zip Code,State,Phone,Web URL,null-Address,Type,Style
K-Bay Martial Arts Warrior Training Center & Gym,"601 E Pioneer Ave, Suite 117, Homer",99603,Alaska,null,https://www.facebook.com/KBayWarriorTrainingCenter,kachemakbay.martialarts@gmail.com,School,
Arizona Filipino Martial Arts,"318 North 5th Avenue, Phoenix ",85003,Arizona,[602] 6799713,null,null,school,
Arnis Balite,Peoria ,85345,Arizona,null,null,null,school,Arnis
Comprehensive Fighting Systems,Sahuarita ,85629,Arizona,[575] 3084632,null,null,school,
Direct Torres Eskrima International,Mesa ,85213,Arizona,null,null,null,school,Eskrima
DTE Eskrima,"1409 W. Indian School Rd., Phoenix ",null,Arizona,[480] 3319885,null,null,school,Eskrima
ESAELD Panuntukan/JKD,"Val Vista Dr & Guadalupe Rd., Gilbert ",85234,Arizona,null,null,null,school,
FTMA Arizona Chapter,Phoenix ,null,Arizona,[480] 3433362,null,null,school,
Full Circle Martial Arts,Glendale ,null,Arizona,[623] 7556720,null,null,school,
Gerald Toki School of Kali,"7171 W Discovery Dr, Glendale ",85303,Arizona,[623] 3329367,null,null,school,Kali
NavaSticks FMA,North Central Phoenix ,85032,Arizona,[480] 7071141 ,null,null,school,
Phoenix Combat Escrima ,Phoenix AZ,null,Arizona,[602] 3589520 ,null,null,school,Escrima
Progressive Arnis Tucson Arizona,"7320 N. La Cholla Blvd. #164, Tucson ",85741,Arizona,null,null,null,school,Arnis
Southwest Martial Arts,"2356 W. Jasper Butte Dr., Queen Creek ",85242,Arizona,[480] 9875116,null,null,school,
Stick Fighter Training Center,Tucson ,85745,Arizona,[520] 9559243,null,null,school,
Conway Karate Jujitsu Escrima,Conway ,72127,Arkansas,[501] 3545843,null,null,school,Escrima
HAMA/Sanano Arnis Trecehampas,"1002 E. Main St., Cabot ",72023,Arkansas,[501] 6061722,null,null,school,
Malmo Martial Arts,"P.O. Box 654, Bentonville ",72712,Arkansas,[479] 6404455,null,null,school,
PTK Arkansas,Fort Smith ,72903,Arkansas,null,null,null,school,
(UDT) Urban Defense Tactics,San Jose,95148,California,(408) 753-7539,www.udtkali.weebly.com,kisurvivalconcepts@gmail.com,School,
729 Matoza Ln.,San Leandro ,94577,California, [510] 2067156,null,null,school,
American Karate,"2440 Sand Creek Rd.  E-10, Brentwood,",94513,California,(925)240-8384,www.americankarate1.com,dmrethage@sbcglobal.net,School,
American Karate Academy (Latosa Escrima),"424 Moore Lane, Healdsburg ",null,California,[707] 4334717,null,null,school,Escrima
Atillo Balintawak,"38550 Florence St., Beaumont ",92223,California,[909] 3636435,null,null,school,
B.A.S.H. Combatives Fitmess,"2934 N. Beverly Glen Circle #270, Los Angeles ",90077,California,[310] 8502515,null,null,school,
BabaoArnis Academy,"1143 Antoine Dr., San Diego ",92139,California,null,null,null,school,
Backyard BrotherhoodUna Sa Laban,Salinas ,93906,California,[417] 2523441,null,null,school,
Bahala Na Filipino Martial Arts Association / Giron Escrima Arnis,"World Headquarters, 203 East Hazelton Street, Stockton",95203,California,null,BahalaNa.org,null@null.com,School,Escrima / Arnis
Bahala Na Filipino Martial Arts Association San Francisco Bay Area,"1739 Wallace Ave., San Francisco",94124,California,null,BahalaNa.org,null@null.com,School,
Bahala Na Multi-Style Escrima ,"Filipino Plaza 6 West Main St., Stockton",95201,California,[209] 9818084,www.bahalanamulti-style.com,null,school,Escrima
Bais Tres Manos (KalisSilatKuntaw) ,"12 Panaroma Dr. AptD, Vallejo ",94589,California,[925] 4516728,null,null,school,Kali
Balintawak Arnis Academy,"Bayanihan Center, Seafood Plaza, 3495 Sonoma `Blvd, Vallejo ",94589,California,[707] 3424448,null,null,school,Arnis
Bandalan Doce Pares,"6081 Killarney Ave., Garden Grove ",92845,California,[714] 8925271 / [714] 8988497,null,null,school,
Bay Area Serrada Escrima,"P.O. Box 21716, El Sobrante ",94820,California,[510] 2220332,null,null,school,Escrima
BlaysHalla Battle Academy,Orange,null,California,null,null,null,school,
Cabales Serrada Escrima,"136 E Harding Way, Stockton ",95207,California,[209] 5982384,null,null,school,Escrima
Capital Doce Pares,"2197 Chase Drive Bldg. #2, Rancho Cordova ",95670,California,[916] 8635278,null,null,school,
Cardenas School of Modern Arnis/Arnis de Mano,"2605 Hoover Ave., National City ",91950,California,[619] 3391418,null,null,school,Arnis
Center for Practical Self Defense (Combat Jujutsu and Filipino Fighting Methodology),"Riverside, California",null,California,[909] 2343015,null,null,school,
