Name,Address,Zip Code,State,Phone,Email,Web URL,Type,Style
Arizona Filipino Martial Arts,"318 North 5th Avenue, Phoenix ",85003,Arizona,[602] 6799713,Email,Web URL,school,
Arnis Balite,Peoria ,85345,Arizona,,,,school,Arnis
Comprehensive Fighting Systems,Sahuarita ,85629,Arizona,[575] 3084632,,,school,
Direct Torres Eskrima International,Mesa ,85213,Arizona,,,,school,Eskrima
DTE Eskrima,"1409 W. Indian School Rd., Phoenix ",,Arizona,[480] 3319885,,,school,Eskrima
ESAELD Panuntukan/JKD,"Val Vista Dr & Guadalupe Rd., Gilbert ",85234,Arizona, ,,,school,
Full Circle Martial Arts,Glendale ,,Arizona,[623] 7556720,,,school,
FTMA Arizona Chapter,Phoenix ,,Arizona,[480] 3433362,,,school,
Gerald Toki School of Kali,"7171 W Discovery Dr, Glendale ",85303,Arizona,[623] 3329367,,,school,Kali
NavaSticks FMA,North Central Phoenix ,85032,Arizona,[480] 7071141 ,,,school,
Phoenix Combat Escrima ,Phoenix AZ,,Arizona,[602] 3589520 ,,,school,Escrima
Progressive Arnis Tucson Arizona,"7320 N. La Cholla Blvd. #164, Tucson ",85741,Arizona,,,,school,Arnis
Southwest Martial Arts,"2356 W. Jasper Butte Dr., Queen Creek ",85242,Arizona,[480] 9875116,,,school,
Stick Fighter Training Center,Tucson ,85745,Arizona,[520] 9559243,,,school,
Malmo Martial Arts,"P.O. Box 654, Bentonville ",72712,Arkansas,[479] 6404455,,,school,
Conway Karate Jujitsu Escrima,Conway ,72127,Arkansas,[501] 3545843,,,school,Escrima
HAMA/Sanano Arnis Trecehampas,"1002 E. Main St., Cabot ",72023,Arkansas,[501] 6061722,,,school,
PTK Arkansas,Fort Smith ,72903,Arkansas,,,,school,
American Karate Academy (Latosa Escrima),"424 Moore Lane, Healdsburg ",,California,[707] 4334717,,,school,Escrima
Atillo Balintawak,"38550 Florence St., Beaumont ",92223,California,[909] 3636435,,,school,
BabaoArnis Academy,"1143 Antoine Dr., San Diego ",92139,California,,,,school,
Backyard BrotherhoodUna Sa Laban,Salinas ,93906,California,[417] 2523441,,,school,
Bahala Na MultiStyle ,"Filipino Plaza 6 West Main St., Stockton",,California,[209] 9818084,,,school,
Bais Tres Manos (KalisSilatKuntaw) ,"12 Panaroma Dr. AptD, Vallejo ",94589,California,[925] 4516728,,,school,Kali
Balintawak Arnis Academy,"Bayanihan Center, Seafood Plaza, 3495 Sonoma `Blvd, Vallejo ",94589,California,[707] 3424448,,,school,Arnis
Bandalan Doce Pares,"6081 Killarney Ave., Garden Grove ",92845,California,[714] 8925271 / [714] 8988497,,,school,
B.A.S.H. Combatives Fitmess,"2934 N. Beverly Glen Circle #270, Los Angeles ",90077,California,[310] 8502515,,,school,
Bay Area Serrada Escrima,"P.O. Box 21716, El Sobrante ",94820,California,[510] 2220332,,,school,Escrima
BlaysHalla Battle Academy,Orange,,California,,,,school,
Cabales Serrada Escrima,"136 E Harding Way, Stockton ",95207,California,[209] 5982384,,,school,Escrima
Capital Doce Pares,"2197 Chase Drive Bldg. #2, Rancho Cordova ",95670,California,[916] 8635278,,,school,
