ZipCode,State,County,City,Distance
62025,IL,Madison,Edwardsville,0
62026,IL,Madison,Edwardsville,5
62067,IL,Madison,Moro,6
62084,IL,Madison,Roxana,6
62046,IL,Madison,Hamel,6
62087,IL,Madison,South Roxana,6
62097,IL,Madison,Worden,6
62034,IL,Madison,Glen Carbon,7
62095,IL,Madison,Wood River,7
62024,IL,Madison,East Alton,7
62048,IL,Madison,Hartford,8
62010,IL,Madison,Bethalto,8
62018,IL,Madison,Cottage Hills,8
62021,IL,Madison,Dorsey,9
62062,IL,Madison,Maryville,9
62061,IL,Madison,Marine,10
62294,IL,Madison,Troy,11
62001,IL,Madison,Alhambra,11
62234,IL,Madison,Collinsville,11
62002,IL,Madison,Alton,11
62040,IL,Madison,Granite City,12
62058,IL,Madison,Livingston,13
63138,MO,Saint Louis,Saint Louis,13
62281,IL,Madison,Saint Jacob,13
62014,IL,Macoupin,Bunker Hill,13
62088,IL,Macoupin,Staunton,14
63386,MO,Saint Charles,West Alton,15
62093,IL,Macoupin,Wilsonville,16
62074,IL,Madison,New Douglas,16
63137,MO,Saint Louis,Saint Louis,16
62232,IL,Saint Clair,Caseyville,16
62012,IL,Macoupin,Brighton,16
62060,IL,Madison,Madison,17
62249,IL,Madison,Highland,17
62035,IL,Madison,Godfrey,17
62085,IL,Macoupin,Sawyerville,17
62204,IL,Saint Clair,East Saint Louis,17
62090,IL,Madison,Venice,17
62269,IL,Saint Clair,O Fallon,18
62254,IL,Saint Clair,Lebanon,18
63033,MO,Saint Louis,Florissant,18
63034,MO,Saint Louis,Florissant,18
62208,IL,Saint Clair,Fairview Heights,18
62071,IL,Saint Clair,National Stock Yards,18
62201,IL,Saint Clair,East Saint Louis,18
62009,IL,Macoupin,Benld,18
62059,IL,Saint Clair,Lovejoy,18
63147,MO,Saint Louis City,Saint Louis,18
63136,MO,Saint Louis,Saint Louis,18
62069,IL,Macoupin,Mount Olive,19
63107,MO,Saint Louis City,Saint Louis,19
62203,IL,Saint Clair,East Saint Louis,19
62202,IL,Saint Clair,East Saint Louis,19
62205,IL,Saint Clair,East Saint Louis,20
62273,IL,Bond,Pierron,20
63115,MO,Saint Louis City,Saint Louis,20
62023,IL,Macoupin,Eagarville,20
63102,MO,Saint Louis City,Saint Louis,20
63106,MO,Saint Louis City,Saint Louis,20
63101,MO,Saint Louis City,Saint Louis,20
62685,IL,Macoupin,Shipman,20
63120,MO,Saint Louis City,Saint Louis,20
63135,MO,Saint Louis,Saint Louis,20
62079,IL,Macoupin,Piasa,21
63032,MO,Saint Louis,Florissant,21
63150,MO,Saint Louis City,Saint Louis,21
63156,MO,Saint Louis City,Saint Louis,21
63157,MO,Saint Louis City,Saint Louis,21
63158,MO,Saint Louis City,Saint Louis,21
63160,MO,Saint Louis City,Saint Louis,21
63163,MO,Saint Louis City,Saint Louis,21
63164,MO,Saint Louis City,Saint Louis,21
63166,MO,Saint Louis City,Saint Louis,21
63169,MO,Saint Louis City,Saint Louis,21
63171,MO,Saint Louis City,Saint Louis,21
63177,MO,Saint Louis City,Saint Louis,21
63178,MO,Saint Louis City,Saint Louis,21
63179,MO,Saint Louis City,Saint Louis,21
63180,MO,Saint Louis City,Saint Louis,21
63188,MO,Saint Louis City,Saint Louis,21
63195,MO,Saint Louis City,Saint Louis,21
63197,MO,Saint Louis City,Saint Louis,21
63199,MO,Saint Louis City,Saint Louis,21
63167,MO,Saint Louis,Saint Louis,21
62289,IL,Saint Clair,Summerfield,21
63155,MO,Saint Louis City,Saint Louis,21
63113,MO,Saint Louis City,Saint Louis,21
62207,IL,Saint Clair,East Saint Louis,21
63103,MO,Saint Louis City,Saint Louis,21
62086,IL,Bond,Sorento,21
62293,IL,Clinton,Trenton,22
63121,MO,Saint Louis,Saint Louis,22
62033,IL,Macoupin,Gillespie,22
62275,IL,Bond,Pocahontas,22
62028,IL,Jersey,Elsah,22
63108,MO,Saint Louis City,Saint Louis,22
63140,MO,Saint Louis,Saint Louis,22
62030,IL,Jersey,Fidelity,22
63104,MO,Saint Louis City,Saint Louis,22
62225,IL,Saint Clair,Scott Air Force Base,22
63112,MO,Saint Louis City,Saint Louis,22
63134,MO,Saint Louis,Saint Louis,23
62091,IL,Montgomery,Walshville,23
63133,MO,Saint Louis,Saint Louis,23
62206,IL,Saint Clair,East Saint Louis,23
62223,IL,Saint Clair,Belleville,23
63031,MO,Saint Louis,Florissant,23
62222,IL,Saint Clair,Belleville,23
62226,IL,Saint Clair,Belleville,23
63110,MO,Saint Louis City,Saint Louis,23
63145,MO,Saint Louis,Saint Louis,23
63118,MO,Saint Louis City,Saint Louis,24
62022,IL,Jersey,Dow,24
63042,MO,Saint Louis,Hazelwood,24
63130,MO,Saint Louis,Saint Louis,24
62221,IL,Saint Clair,Belleville,24
63373,MO,Saint Charles,Portage Des Sioux,25
63114,MO,Saint Louis,Saint Louis,25
63139,MO,Saint Louis City,Saint Louis,25
63105,MO,Saint Louis,Saint Louis,25
63074,MO,Saint Louis,Saint Ann,25
62216,IL,Clinton,Aviston,26
63116,MO,Saint Louis City,Saint Louis,26
62077,IL,Montgomery,Panama,26
63117,MO,Saint Louis,Saint Louis,26
62052,IL,Jersey,Jerseyville,26
62063,IL,Jersey,Medora,26
63111,MO,Saint Louis City,Saint Louis,26
63143,MO,Saint Louis,Saint Louis,26
63132,MO,Saint Louis,Saint Louis,26
63044,MO,Saint Louis,Bridgeton,26
62056,IL,Montgomery,Litchfield,26
62239,IL,Saint Clair,Dupo,26
62240,IL,Saint Clair,East Carondelet,26
63109,MO,Saint Louis City,Saint Louis,27
62230,IL,Clinton,Breese,27
62220,IL,Saint Clair,Belleville,27
63144,MO,Saint Louis,Saint Louis,27
63301,MO,Saint Charles,Saint Charles,27
62246,IL,Bond,Greenville,28
63124,MO,Saint Louis,Saint Louis,28
63045,MO,Saint Louis,Earth City,28
63119,MO,Saint Louis,Saint Louis,28
62260,IL,Saint Clair,Millstadt,28
62019,IL,Montgomery,Donnellson,28
62245,IL,Clinton,Germantown,29
63043,MO,Saint Louis,Maryland Heights,29
63302,MO,Saint Charles,Saint Charles,29
62265,IL,Clinton,New Baden,29
63123,MO,Saint Louis,Saint Louis,29
62258,IL,Saint Clair,Mascoutah,29
63146,MO,Saint Louis,Saint Louis,30
62630,IL,Macoupin,Chesterfield,30
62626,IL,Macoupin,Carlinville,30
62243,IL,Saint Clair,Freeburg,30
63125,MO,Saint Louis,Saint Louis,30
62266,IL,Clinton,New Memphis,30
62215,IL,Clinton,Albers,30
62037,IL,Jersey,Grafton,30
63141,MO,Saint Louis,Saint Louis,30
62089,IL,Montgomery,Taylor Springs,31
63126,MO,Saint Louis,Saint Louis,31
63131,MO,Saint Louis,Saint Louis,31
62236,IL,Monroe,Columbia,32
62049,IL,Montgomery,Hillsboro,32
63122,MO,Saint Louis,Saint Louis,32
62285,IL,Saint Clair,Smithton,32
63303,MO,Saint Charles,Saint Charles,32
62219,IL,Clinton,Beckemeyer,33
62015,IL,Montgomery,Butler,33
63127,MO,Saint Louis,Saint Louis,33
62017,IL,Montgomery,Coffeen,33
62284,IL,Bond,Smithboro,34
63017,MO,Saint Louis,Chesterfield,34
62054,IL,Greene,Kane,34
62036,IL,Calhoun,Golden Eagle,34
63151,MO,Saint Louis,Saint Louis,34
62081,IL,Greene,Rockbridge,34
62013,IL,Calhoun,Brussels,34
63128,MO,Saint Louis,Saint Louis,34
62218,IL,Clinton,Bartelso,35
62253,IL,Clinton,Keyesport,35
63129,MO,Saint Louis,Saint Louis,35
63099,MO,Saint Louis,Fenton,35
62649,IL,Macoupin,Hettick,35
62672,IL,Macoupin,Nilwood,36
62560,IL,Montgomery,Raymond,36
63006,MO,Saint Louis,Chesterfield,36
62282,IL,Saint Clair,Saint Libory,36
63024,MO,Saint Louis,Ballwin,36
62031,IL,Jersey,Fieldon,37
63376,MO,Saint Charles,Saint Peters,37
63022,MO,Saint Louis,Ballwin,37
63088,MO,Saint Louis,Valley Park,37
63026,MO,Saint Louis,Fenton,37
62231,IL,Clinton,Carlyle,37
63011,MO,Saint Louis,Ballwin,37
62262,IL,Bond,Mulberry Grove,37
63021,MO,Saint Louis,Ballwin,37
62271,IL,Washington,Okawville,38
62044,IL,Greene,Greenfield,38
62214,IL,Washington,Addieville,38
62248,IL,Monroe,Hecker,38
62264,IL,Saint Clair,New Athens,38
62257,IL,Saint Clair,Marissa,38
62051,IL,Montgomery,Irving,38
63010,MO,Jefferson,Arnold,39
62674,IL,Macoupin,Palmyra,39
63338,MO,Saint Charles,Cottleville,39
62255,IL,Saint Clair,Lenzburg,39
62572,IL,Montgomery,Waggoner,39
62032,IL,Montgomery,Fillmore,39
62640,IL,Macoupin,Girard,39
62252,IL,Clinton,Huey,39
62298,IL,Monroe,Waterloo,39
63304,MO,Saint Charles,Saint Charles,40
62098,IL,Greene,Wrights,40
63366,MO,Saint Charles,O Fallon,41
62047,IL,Calhoun,Hardin,41
63052,MO,Jefferson,Imperial,41
63053,MO,Jefferson,Kimmswick,41
62094,IL,Montgomery,Witt,41
63049,MO,Jefferson,High Ridge,41
62016,IL,Greene,Carrollton,42
63005,MO,Saint Louis,Chesterfield,42
63040,MO,Saint Louis,Wildwood,42
62006,IL,Calhoun,Batchtown,42
62538,IL,Montgomery,Harvel,42
62250,IL,Clinton,Hoffman,43
63038,MO,Saint Louis,Wildwood,43
63057,MO,Jefferson,Liguori,43
62027,IL,Greene,Eldred,43
63368,MO,Saint Charles,O Fallon,43
63369,MO,Lincoln,Old Monroe,44
63025,MO,Saint Louis,Eureka,44
62667,IL,Macoupin,Modesto,44
62256,IL,Monroe,Maeystown,44
62533,IL,Montgomery,Farmersville,44
62803,IL,Washington,Hoyleton,45
62065,IL,Calhoun,Michael,45
62278,IL,Randolph,Red Bud,45
62295,IL,Monroe,Valmeyer,45
62683,IL,Macoupin,Scottville,45
62011,IL,Fayette,Bingham,45
63012,MO,Jefferson,Barnhart,45
63389,MO,Lincoln,Winfield,46
63367,MO,Saint Charles,Lake Saint Louis,46
62885,IL,Fayette,Shobonier,46
62075,IL,Montgomery,Nokomis,46
62471,IL,Fayette,Vandalia,46
62092,IL,Greene,White Hall,46
63341,MO,Saint Charles,Defiance,47
62263,IL,Washington,Nashville,47
62292,IL,Randolph,Tilden,47
62268,IL,Washington,Oakdale,47
63051,MO,Jefferson,House Springs,47
62045,IL,Calhoun,Hamburg,47
63070,MO,Jefferson,Pevely,47
63347,MO,Lincoln,Foley,47
62690,IL,Macoupin,Virden,47
62217,IL,Randolph,Baldwin,47
62882,IL,Marion,Sandoval,47
62892,IL,Marion,Vernon,47
63048,MO,Jefferson,Herculaneum,48
63073,MO,Franklin,Saint Albans,48
62082,IL,Greene,Roodhouse,48
62662,IL,Sangamon,Lowder,48
62689,IL,Sangamon,Thayer,48
62801,IL,Marion,Centralia,48
62244,IL,Monroe,Fults,49
62875,IL,Marion,Patoka,49
63385,MO,Saint Charles,Wentzville,49
63019,MO,Jefferson,Crystal City,49
63346,MO,Saint Charles,Flinthill,49
62080,IL,Fayette,Ramsey,49
63069,MO,Franklin,Pacific,49
62546,IL,Christian,Morrisonville,49
62279,IL,Monroe,Renault,50
62237,IL,Randolph,Coulterville,50
62053,IL,Calhoun,Kampsville,50
